iter	RMSE
0	1717724.004
1	1693519.354
2	1663744.133
3	1634935.324
4	1607069.083
5	1580130.904
6	1554079.943
7	1528912.213
8	1504594.631
9	1481107.633
10	1458428.985
11	1436537.066
12	1415398.867
13	1395018.714
14	1375364.232
15	1356404.402
16	1338141.526
17	1320534.586
18	1303576.02
19	1287255.249
20	1279582.011
21	1264171.914
22	1249337.155
23	1235076.863
24	1221356.267
25	1208170.985
26	1195507.339
27	1183326.572
28	1171644.775
29	1160429.584
30	1149657.759
31	1139332.536
32	1129424.572
33	1119917.822
34	1110814.262
35	1102076.766
36	1093715.219
37	1085709.856
38	1078043.329
39	1070705.353
40	1063672.038
41	1056948.589
42	1050520.151
43	1044362.895
44	1038473.877
45	1032853.599
46	1027472.61
47	1022330.752
48	1017427.611
49	1012743.337
50	1008262.26
51	1003978.838
52	999894.2568
53	995987.8974
54	992267.4528
55	988722.6716
56	985342.5808
57	982110.095
58	979027.0723
59	976094.5023
60	973297.9409
61	970632.0296
62	968089.2644
63	965667.8626
64	963352.2262
65	961152.515
66	959053.5339
67	957056.7266
68	955146.3932
69	953325.8574
70	952395.9423
71	950716.7891
72	949106.5494
73	947575.4289
74	946125.5423
75	944745.2728
76	943422.1633
77	942170.8622
78	935591.4249
79	935587.0582
80	934380.6671
81	933225.0916
82	928219.3048
83	927125.8748
84	926477.5313
85	925437.1815
86	924437.685
87	923961.2605
88	923042.0811
89	919218.6247
90	914891.7652
91	914710.7916
92	914692.2295
93	914524.094
94	910530.5149
95	909637.9484
96	908794.3198
97	907991.6607
98	907226.448
99	907085.7218
100	906364.5514
101	906056.138
102	905388.0217
103	905346.1554
104	905223.3506
105	898711.8872
106	898698.4275
107	898049.202
108	897985.7839
109	897376.5315
110	896796.9201
111	896633.5458
112	896077.2792
113	896046.8543
114	895516.6178
115	892515.2303
116	892509.7966
117	892003.5851
118	891713.8965
119	888183.2315
120	881890.8461
121	881397.3347
122	880442.2144
123	879984.4013
124	879545.3327
125	879057.835
126	878882.1314
127	878467.0901
128	878072.8551
129	874768.3892
130	874391.5162
131	874033.057
132	873687.5505
133	873358.9818
134	867350.3702
135	867040.2519
136	866979.0011
137	866679.5551
138	866398.8928
139	866132.1536
140	865870.735
141	865617.9176
142	865564.5304
143	865324.6122
144	865102.9148
145	864891.5611
146	864690.9208
147	864500.0226
148	864309.6142
149	864131.7515
150	863967.6934
151	860866.6875
152	860710.0862
153	860663.3451
154	860367.5645
155	860213.7074
156	860067.6192
157	857197.0169
158	854392.189
159	854252.48
160	854211.367
161	854078.6994
162	851414.6093
163	851288.2274
164	848824.612
165	848459.7485
166	848342.6464
167	848227.9696
168	848191.7871
169	848082.88
170	845804.2256
171	845700.4922
172	845668.9315
173	845570.3769
174	845341.8018
175	840780.7503
176	835222.4672
177	829896.2635
178	826032.4904
179	825936.6234
180	823779.5618
181	821791.073
182	821759.5795
183	821737.5329
184	819322.4634
185	819294.1312
186	819113.1602
187	816630.1819
188	814781.3958
189	813069.1427
190	812977.1571
191	812889.0526
192	810665.5675
193	810498.96
194	810415.0219
195	810389.9917
196	810310.5819
197	810043.36
198	810021.3446
199	809999.5814
200	809924.1574
201	809345.4285
202	807756.02
203	806288.261
204	806108.7922
205	806030.6164
206	805957.9125
207	805889.3973
208	805336.5368
209	805315.1563
210	805086.9361
211	805067.8769
212	800395.8785
213	800171.905
214	800032.8146
215	798667.0009
216	798136.729
217	797916.3926
218	796654.2531
219	796550.8775
220	796484.3245
221	792008.3909
222	790836.7308
223	790773.0626
224	790621.9476
225	790112.0131
226	790051.4909
227	789840.5175
228	789455.0893
229	788989.2751
230	788977.0881
231	784682.2376
232	780577.6859
233	780386.6595
234	780213.6695
235	776289.9235
236	776231.7208
237	772482.9738
238	771378.493
239	771322.775
240	771206.7253
241	767620.194
242	767485.9711
243	767279.9836
244	767226.2919
245	767212.5068
246	766187.7317
247	765731.4698
248	765680.3581
249	765246.3469
250	765079.0226
251	761642.4578
252	761398.2312
253	758115.7719
254	758095.5825
255	756017.724
256	752988.7932
257	752565.9976
258	752516.8403
259	749624.3226
260	749464.9691
261	746704.2586
262	746672.1252
263	744037.9564
264	741525.1706
265	741119.5757
266	740991.5117
267	739087.4225
268	738107.092
269	736668.1732
270	736280.61
271	736232.9745
272	735864.258
273	735846.2559
274	735800.912
275	735450.2138
276	735116.091
277	734744.4906
278	734465.3202
279	732211.7951
280	732022.5479
281	731978.9611
282	731696.6109
283	731637.043
284	729486.5898
285	729319.9681
286	727269.1914
287	727245.9636
288	727233.1101
289	727035.4949
290	726930.2573
291	724974.5414
292	723110.4394
293	722841.7484
294	722423.9729
295	722420.7814
296	722378.5066
297	722285.6619
298	720507.0501
299	720489.9998
300	720450.0256
301	720328.9207
302	720017.8701
303	719827.1148
304	718130.5144
305	716513.9194
306	716239.1049
307	716200.6078
308	716189.3708
309	715891.98
310	715855.6492
311	715823.8798
312	714282.2062
313	714063.2391
314	712594.0592
315	712530.9853
316	712520.8843
317	712446.1956
318	711046.4151
319	711022.4132
320	711018.7873
321	709685.4892
322	709585.2748
323	709532.4193
324	709440.5514
325	709256.9061
326	708340.6696
327	707495.186
328	706221.4002
329	705962.3716
330	704748.8532
331	704698.3047
332	703915.0799
333	703627.4435
334	703593.4443
335	703453.9565
336	703418.5738
337	703179.0433
338	702327.2819
339	701602.8819
340	701328.5515
341	700935.2754
342	700681.3195
343	700640.1666
344	700612.2602
345	700603.8664
346	700516.2622
347	700254.9925
348	700079.6585
349	699922.3965
350	699888.618
351	699856.439
352	699808.1526
353	699777.6082
354	699107.2011
355	698913.0907
356	697790.1127
357	697716.3328
358	697149.1555
359	696957.4158
360	696230.189
361	696202.6625
362	696169.5459
363	696124.2789
364	696065.8409
365	696041.9077
366	695942.8015
367	695734.027
368	695723.7582
369	695716.4782
370	695625.0371
371	695489.4982
372	695427.1802
373	695249.4819
374	694628.1172
375	694620.4322
376	694413.2547
377	694162.9397
378	694133.2477
379	694023.2538
380	693449.4621
381	693273.2433
382	693244.1323
383	693197.8625
384	692524.1074
385	692387.4374
386	692148.7928
387	692038.4269
388	692010.5753
389	691983.9269
390	691796.7631
391	691633.2295
392	691606.7984
393	691370.3402
394	690839.6351
395	690612.2939
396	690594.7364
397	690412.9292
398	690345.6045
399	690334.1394
400	690328.5029
401	690243.757
402	690217.3782
403	690213.8438
404	690188.5713
405	690021.2361
406	689641.104
407	689620.8049
408	689601.6694
409	689582.1875
410	689429.1646
411	689242.3874
