iter	Passed	Remaining
0	12	12420
1	18	9275
2	23	7973
3	29	7452
4	35	7069
5	41	6884
6	47	6698
7	53	6586
8	58	6454
9	64	6350
10	69	6256
11	75	6224
12	80	6108
13	85	6054
14	91	5984
15	96	5949
16	101	5895
17	108	5926
18	114	5917
19	120	5893
20	126	5886
21	132	5893
22	138	5902
23	146	5941
24	151	5914
25	159	5980
26	166	6001
27	173	6015
28	179	6014
29	186	6039
30	193	6033
31	199	6042
32	207	6081
33	223	6361
34	230	6365
35	237	6362
36	244	6372
37	250	6352
38	257	6353
39	264	6348
40	271	6353
41	278	6352
42	285	6355
43	291	6342
44	298	6332
45	305	6340
46	313	6351
47	320	6363
48	327	6363
49	335	6367
50	341	6355
51	348	6353
52	355	6348
53	362	6347
54	369	6352
55	376	6354
56	383	6348
57	389	6329
58	397	6332
59	404	6333
60	411	6329
61	417	6309
62	422	6282
63	428	6266
64	434	6254
65	440	6234
66	446	6212
67	451	6187
68	457	6172
69	462	6149
70	468	6124
71	473	6104
72	479	6087
73	484	6066
74	490	6049
75	495	6028
76	501	6008
77	506	5986
78	511	5968
79	517	5956
80	523	5935
81	528	5916
82	534	5904
83	539	5884
84	546	5878
85	551	5862
86	556	5845
87	562	5830
88	568	5817
89	574	5808
90	581	5806
91	587	5801
92	593	5789
93	599	5775
94	605	5763
95	610	5744
96	615	5729
97	621	5716
98	626	5699
99	631	5685
100	637	5673
101	642	5657
102	648	5645
103	654	5635
104	662	5649
105	668	5637
106	674	5626
107	679	5614
108	686	5609
109	692	5603
110	698	5593
111	704	5587
112	711	5581
113	718	5584
114	725	5580
115	732	5581
116	739	5580
117	746	5583
118	754	5585
119	761	5586
120	769	5587
121	774	5577
122	781	5574
123	789	5575
124	794	5564
125	801	5561
126	808	5554
127	813	5543
128	819	5532
129	825	5524
130	830	5511
131	836	5498
132	841	5485
133	847	5474
134	853	5466
135	858	5456
136	863	5442
137	869	5431
138	875	5420
139	880	5408
140	886	5399
141	891	5387
142	896	5372
143	901	5359
144	907	5349
145	912	5337
146	917	5326
147	923	5315
148	928	5304
149	934	5295
150	940	5286
151	946	5279
152	952	5272
153	957	5260
154	963	5251
155	968	5240
156	974	5231
157	980	5226
158	987	5221
159	992	5212
160	997	5198
161	1003	5189
162	1009	5182
163	1014	5173
164	1021	5168
165	1028	5165
166	1033	5155
167	1039	5149
168	1044	5137
169	1050	5129
170	1056	5121
171	1062	5115
172	1069	5114
173	1076	5109
174	1083	5106
175	1090	5104
176	1098	5108
177	1105	5104
178	1112	5103
179	1118	5096
180	1127	5103
181	1146	5150
182	1151	5142
183	1156	5129
184	1162	5120
185	1167	5109
186	1173	5101
187	1179	5093
188	1185	5086
189	1191	5078
190	1196	5068
191	1202	5058
192	1208	5051
193	1214	5046
194	1222	5047
195	1231	5051
196	1237	5045
197	1244	5039
198	1249	5030
199	1255	5020
200	1260	5011
201	1266	5002
202	1272	4994
203	1277	4985
204	1283	4976
205	1288	4968
206	1294	4960
207	1301	4955
208	1307	4949
209	1313	4940
210	1319	4933
211	1324	4923
212	1330	4915
213	1336	4908
214	1341	4899
215	1347	4892
216	1353	4884
217	1359	4877
218	1365	4868
219	1371	4863
220	1377	4854
221	1383	4846
222	1388	4838
223	1394	4831
224	1399	4821
225	1405	4813
226	1411	4805
227	1416	4797
228	1422	4789
229	1428	4781
230	1433	4771
231	1438	4763
232	1444	4754
233	1450	4746
234	1455	4738
235	1461	4730
236	1467	4724
237	1474	4720
238	1480	4714
239	1486	4706
240	1491	4697
241	1496	4688
242	1502	4681
243	1508	4674
244	1514	4665
245	1519	4656
246	1525	4649
247	1530	4640
248	1535	4632
249	1541	4624
250	1547	4616
251	1552	4609
252	1558	4602
253	1564	4594
254	1569	4585
255	1575	4578
256	1581	4571
257	1587	4565
258	1592	4557
259	1598	4549
260	1604	4542
261	1610	4535
262	1615	4527
263	1621	4520
264	1627	4512
265	1633	4506
266	1638	4498
267	1644	4491
268	1650	4483
269	1655	4476
270	1661	4469
271	1667	4462
272	1673	4455
273	1678	4448
274	1684	4440
275	1690	4433
276	1695	4426
277	1701	4419
278	1707	4411
279	1712	4403
280	1718	4397
281	1724	4390
282	1729	4382
283	1735	4374
284	1741	4367
285	1746	4360
286	1752	4353
287	1758	4346
288	1763	4338
289	1769	4331
290	1775	4324
291	1780	4317
292	1786	4311
293	1792	4305
294	1798	4298
295	1804	4290
296	1809	4283
297	1815	4277
298	1821	4270
299	1826	4262
300	1832	4255
301	1838	4248
302	1844	4241
303	1850	4236
304	1856	4230
305	1862	4224
306	1868	4216
307	1873	4210
308	1879	4202
309	1885	4196
310	1890	4188
311	1896	4181
312	1902	4175
313	1907	4168
314	1914	4162
315	1919	4154
316	1924	4146
317	1930	4140
318	1936	4132
319	1941	4125
320	1947	4119
321	1953	4112
322	1958	4105
323	1964	4098
324	1969	4091
325	1975	4084
326	1982	4079
327	1987	4072
328	1993	4065
329	1998	4058
330	2004	4051
331	2010	4044
332	2015	4037
333	2022	4032
334	2028	4026
335	2033	4019
336	2039	4012
337	2045	4006
338	2051	3999
339	2056	3992
340	2062	3986
341	2068	3980
342	2074	3973
343	2080	3967
344	2086	3960
345	2090	3952
346	2096	3945
347	2102	3939
348	2107	3931
349	2113	3924
